formula,database,id,T,rho_pred,seebeck_abs_pred,kappa_pred,zT_pred,rho_var,seebeck_abs_var,kappa_var,zT_var
Ge2Se5Tl2,ICSD,26415,700,7.75994e-05,0.000233106,1.49781,1.11568,1.38109e-05,1.30104e-08,10.627,0.183054
Ge3Ir2Se3,ICSD,169228,700,6.9601e-05,0.000233958,1.87489,1.12598,2.33133,1.29327e-08,19.1993,0.169923
Ge3Rh2Se3,ICSD,261240,700,9.61962e-05,0.000177011,1.61429,1.01113,23.6478,3.85766e-09,12.9368,0.39013
GeHfTe4,COD,2218123,700,1.79874e-05,0.000199045,2.71883,1.0286,2.84194e-09,1.28068e-08,17.3052,0.812842
GeHgTe4Tl2,COD,4000659,700,0.000101892,0.000251035,1.15429,1.27347,0.129324,9.8959e-09,4.66314,0.0741898
GeMnTe4Tl2,COD,4000661,700,0.000171429,0.000255242,1.57481,1.30847,366.875,8.73226e-09,10.057,0.050314
GePtSe,ICSD,2595,700,0.000161169,0.000197991,1.21662,1.17136,1.02075e+06,5.21053e-09,11.9341,0.191518
GeSe3Tl2,ICSD,35043,700,8.19481e-05,0.000234825,1.36926,1.17339,1.17957e-05,9.41828e-09,10.5992,0.211564
GeSe4Tl4,ICSD,261015,700,8.39688e-05,0.000240543,1.00832,1.18853,7.03881e-06,9.60418e-09,6.81843,0.20843
GeTe3Tl2,ICSD,80292,700,8.64178e-05,0.00027071,1.75003,1.20153,5.07047e-06,8.37232e-09,13.115,0.0879208
GeTe3Tl3,ICSD,49658,700,0.000103511,0.000274286,1.09783,1.24362,0.0101683,7.82958e-09,2.57624,0.0922337
GeTe4Zr,COD,2215468,700,1.74131e-05,0.000214743,2.6066,1.00635,1.25009e-09,1.07786e-08,10.359,0.63328
GeTe5Tl2,ICSD,69035,700,0.000128704,0.000273022,5.50966,1.17867,4.80558e-06,7.85986e-09,54.5012,0.0698273
GeTe6Ti,ICSD,73014,700,1.94244e-05,0.0002373,2.32765,1.03214,1.33131e-09,9.41005e-09,9.42747,0.16392
HfPbSe4Tl2,ICSD,237510,700,3.5495e-05,0.000210491,1.64348,1.30803,2.9576e-07,1.00826e-08,12.0109,0.265885
HfTe4Tl4,ICSD,168651,700,4.85933e-05,0.000241578,1.12831,1.19065,2.31044e-05,8.55824e-09,3.65859,0.185725
Hg3Se4Tl2,COD,4000818,700,0.000293335,0.000247619,0.760892,1.09611,283223,1.09863e-08,1.19323,0.868273
Hg3Te4Tl2,COD,4000819,700,0.000267004,0.000271714,0.676236,1.11145,576309,6.54463e-09,1.84162,0.743482
HgIn2Se4,COD,5910288,700,0.000185954,0.00024277,1.02078,1.0851,1246.84,1.10773e-08,3.27018,0.199406
HgIn2Te4,COD,5910237,700,8.29029e-05,0.000241168,1.47611,1.09183,2.91678,1.15838e-08,13.1968,0.875552
HgSe4SnTl2,ICSD,247764,700,0.000169141,0.000254025,0.815405,1.2546,89.7004,1.23951e-08,1.96359,0.201108
HgSnTe4Tl2,COD,4000660,700,0.00016921,0.000267031,1.13628,1.24602,4481,6.96262e-09,5.45776,0.0847758
HoPb3,ICSD,104431,700,3.48478e-05,0.000163501,1.55328,1.0528,1.69773e-08,8.25576e-09,2.91472,0.547877
In12Te23,COD,4334474,700,2.87379e-05,0.000195218,2.13632,1.16051,2.81904e-08,1.72484e-08,18.274,0.0855261
In2Pb4Sb4Se13,COD,4302601,700,0.000114734,0.000236245,2.0876,1.11529,4.90656,1.39893e-08,36.4787,0.118955
In2Sb6Zn9,COD,4302480,700,4.12134e-05,0.000209402,0.86412,1.09076,7.94845e-07,3.31402e-09,0.256884,0.0630139
In2Se3,ICSD,1376,700,7.18944e-05,0.000204735,1.47093,1.01122,1.0693e-05,8.7717e-09,12.4176,0.232249
In2Se4Yb,ICSD,640533,700,4.42141e-05,0.000153447,1.18897,1.03221,0.000224907,1.12345e-08,1.36403,0.252112
In2Se4Zn,COD,5910326,700,9.71092e-05,0.000202721,0.966046,1.04997,29.7832,8.76811e-09,3.65732,0.150272
In2SrTe4,ICSD,41167,700,3.03482e-05,0.000164578,1.10139,1.10691,1.72485e-06,1.11358e-08,2.15399,0.283481
In2Te,ICSD,640618,700,4.79305e-05,0.000196726,0.953116,1.17226,1.11429e-05,1.52707e-08,3.70429,0.0794649
In2Te3,ICSD,44364,700,3.60854e-05,0.000194142,2.00653,1.17785,7.01295e-06,1.70836e-08,16.8194,0.0752256
